UrlId	Seed URL	Cost	Trial to success cost
1	https://www.ncu.edu.tw/events/showevent/eventid/9380	20	20
2	https://www.tam.gov.taipei/News_Content.aspx?n=794B17A953424610&sms=9D72E82EC16F3E64&s=E310EC676136BFC3	194	194
3	https://www.gov.taipei/News_Content.aspx?n=DB8DBA97CF926C87&sms=9D72E82EC16F3E64&s=CF452803E6562643	247	247
4	http://artist.nccu.edu.tw/ex1.html	2	2
5	http://careernthu.conf.asia/news.aspx?lang=cht&pid=5922	36	36
6	https://parklanes.com.tw/takewhatyouneed/	198	198
7	http://cpmat.org.tw/?p=6578	30	30
8	http://demo.wineacademy.tw/page/?b=62&cl=salon&fn=video&p=364	169	169
9	http://ewda.tw/modules/ewda_action/action.php?asn=4774	80	80
10	http://gpm.com.tw/index.php?do=news&pid=0&id=89	26	26
11	http://ice.net.tw/news_view.php?sn=1824	160	160
12	http://investmentcommunity16888.blogspot.com/2020/12/20210107.html	72	72
13	http://kfa.kcg.gov.tw/news/detail/5eb8f68dda12e50007c9901e	22	22
14	http://nfu.buyersline.com.tw/news_detail.php?NNo=127	20	20
16	http://taichung.trkmall.com.tw/event-content.html?sn=994	12	12
17	http://taiwangca.org/news/details/142	14	14
18	https://thecubespace.com/project/liquid-love-sound-meridian-zh/	6	6
19	https://www.tpqc.com.tw/python%e5%a4%a7%e6%95%b8%e6%93%9a%e9%87%91%e8%9e%8d%e8%82%a1%e7%a5%a8%e6%9c%9f%e8%b2%a8%e7%b6%b2%e8%b7%af%e7%88%ac%e8%9f%b2%e8%b3%87%e6%96%99%e5%88%86%e6%9e%90%e5%af%a6%e5%8b%99%e7%8f%ad%e7%ac%ac01-2/	36	36
20	http://tw-toylibrary.org/new/event_detail.php?id=16	22	22
21	https://tydep-eew.com.tw/news-detail.php?id=280	10	10
22	http://umkt.jutfoundation.org.tw/news/59/2712	20	20
23	https://www.artistvillage.org/event-detail.php?p=4354	22	22
24	http://www.asiaartcenter.org/asia/art-taipei-2020-%e4%ba%9e%e6%b4%b2%e8%97%9d%e8%a1%93%e4%b8%ad%e5%bf%83-%e5%b1%95%e4%bd%8d-c06/	10	10
25	http://www.chailease.org.tw/ugC_News_Detail.asp?hidNewsID=134	18	18
26	http://www.chi-nanchurch.tw/bulletin/events/2020102701/view	24	24
27	http://www.cityyeast.com/passion3_show.php?passion3type_id2=34&passion3_id=1563	4	4
28	http://www.comedy.com.tw/2020/04/30/wnl/	14	14
29	http://www.eagletek.com.tw/news.php?act=view&no=78	24	24
30	http://www.gston.com.tw/product_detail.php?item=72	8	8
31	http://www.guandu-natureart.tw/event/423	12	12
32	http://www.hondao.org.tw/news-detail/938	36	36
33	http://www.ice.net.tw/ice_class_view.php?csn=3862	196	196
34	http://www.irun.com.tw/activity/activity.php?sid=6802	12	12
35	http://www.ldatc.org.tw/news/%e3%80%9010%e6%9c%8818%e6%97%a5%e5%8f%b0%e4%b8%ad%e5%b8%82%e5%ad%b8%e7%bf%92%e9%9a%9c%e7%a4%99%e5%8d%94%e6%9c%83%e6%bc%86%e5%bd%88%e6%b0%b4%e6%99%b6%e5%bd%88%e6%b4%bb%e5%8b%95%e3%80%91-164.html	18	18
36	http://www.majisquare.com/event_view.php?id=64419	16	16
37	http://www.psy.ntu.edu.tw/index.php/homepage/speech/2352-1091104	10	10
38	https://www.rectp.org/2018/01/2020.html	3594	(Event Source Page was not found)
39	http://www.sinpink.com/lecture_dt.php?id=158	8	8
40	http://www.twcenter.org.tw/archives/4263	88	88
41	http://www.urcda.org.tw/study_ii.html?getId=44	40	40
42	http://www.wsa.com.tw/show.php?pi_index=966	20	20
43	http://www.xwtsc.com/news_detail.php?NNo=402	14	14
44	http://www.yssa.org.tw/2020/06/86.html	2	2
45	https://1289084.kktix.cc/events/904bfc4c-copy-11	6	6
46	https://actio.ncl.edu.tw/activitydetails?uid=2&pid=211	2	2
